Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID1086,Authenticity check: QID1150,Authenticity check: QID1152,Authenticity check: QID1153,Authenticity check: QID1322913324,Authenticity check: QID444,Authenticity check: QID447,Authenticity check: Bots
APPROVED,Not Applicable,2026-05-12T15:50:13.933000Z,2026-05-12T16:11:27.298000Z,2026-05-13T14:31:18.406000Z,2026-05-12T16:11:27.721468Z,1274,CDT15VVH,882,English,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T15:50:27.202000Z,2026-05-12T16:24:13.117000Z,2026-05-13T14:31:18.674000Z,2026-05-12T16:24:13.640068Z,2026,CDT15VVH,747,English,25,Female,Other,Mexico,United States,Mexico,Spanish,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
APPROVED,Not Applicable,2026-05-12T15:54:31.216000Z,2026-05-12T16:17:09.633000Z,2026-05-13T14:31:18.946000Z,2026-05-12T16:17:10.049025Z,1359,CDT15VVH,1186,English,56,Female,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
RETURNED,Not Applicable,,,,2026-05-13T15:12:02.548419Z,,,2768,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-12T16:00:24.251000Z,2026-05-12T16:39:50.885000Z,2026-05-13T14:31:19.211000Z,2026-05-12T16:39:51.313663Z,2367,CDT15VVH,54,English,44,Female,Mixed,United States,United States,United States,English,No,Other,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
APPROVED,Not Applicable,2026-05-12T16:06:39.500000Z,2026-05-12T16:23:27.074000Z,2026-05-13T14:31:19.482000Z,2026-05-12T16:23:28.129442Z,1008,CDT15VVH,348,English,46,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
RETURNED,Not Applicable,2026-05-12T16:19:37.277000Z,,,2026-05-13T15:12:02.547160Z,,,3833,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-12T16:20:19.255000Z,2026-05-12T16:42:24.813000Z,2026-05-13T14:31:20.287000Z,2026-05-12T16:42:25.184724Z,1326,CDT15VVH,1174,"Chinese, English",29,Female,Asian,Taiwan,United States,Taiwan,Chinese,Yes,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T16:36:09.308000Z,2026-05-12T16:53:12.295000Z,2026-05-13T14:31:20.514000Z,2026-05-12T16:53:12.781454Z,1023,CDT15VVH,94,English,37,Male,Prefer not to say,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
APPROVED,Not Applicable,2026-05-12T16:52:12.739000Z,2026-05-12T17:08:27.927000Z,2026-05-13T14:31:20.752000Z,2026-05-12T17:08:28.542411Z,976,CDT15VVH,441,English,29,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T16:52:37.762000Z,2026-05-12T17:48:51.311000Z,2026-05-13T14:31:21.006000Z,2026-05-12T17:48:51.898434Z,3374,CDT15VVH,498,English,35,Female,White,United States,United States,United States,English,Yes,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T18:16:40.712000Z,2026-05-12T18:38:35.760000Z,2026-05-13T14:31:21.274000Z,2026-05-12T18:38:36.256919Z,1316,CDT15VVH,11,English,42,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:17.928000Z,2026-05-15T18:06:36.867000Z,,2026-05-15T18:06:37.265793Z,1579,CDT15VVH,2475,English,28,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:16.540000Z,2026-05-15T18:04:50.967000Z,,2026-05-15T18:04:51.380731Z,1475,CDT15VVH,7871,English,37,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:17.406000Z,2026-05-15T18:08:54.732000Z,,2026-05-15T18:08:55.154902Z,1718,CDT15VVH,68,"Hebrew, English",50,Female,White,Georgia,United States,Israel,Russian,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:18.091000Z,2026-05-15T18:11:41.771000Z,,2026-05-15T18:11:42.215703Z,1884,CDT15VVH,757,"English, Mandarin",33,Female,Asian,Taiwan,United States,Taiwan,Mandarin,No,Other,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:24.904000Z,2026-05-15T18:07:24.890000Z,,2026-05-16T23:40:44.830523Z,1620,CDT15VVH,4251,"English, French, Italian, Spanish",42,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:26.082000Z,2026-05-15T18:13:14.370000Z,,2026-05-15T18:13:14.756505Z,1969,CDT15VVH,1503,English,30,Male,Black,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:26.798000Z,2026-05-15T18:11:04.768000Z,,2026-05-15T18:11:05.181350Z,1838,CDT15VVH,529,English,28,Male,Black,United States,United States,United States,English,Yes,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:24.396000Z,2026-05-15T18:00:09.589000Z,,2026-05-15T18:00:10.035306Z,1186,CDT15VVH,422,English,20,Female,Black,United States,United States,United States,English,Yes,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:33.280000Z,2026-05-15T18:08:17.075000Z,,2026-05-15T18:08:17.486912Z,1664,CDT15VVH,87,English,50,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:25.411000Z,2026-05-15T17:58:18.386000Z,,2026-05-15T17:58:18.816346Z,1073,CDT15VVH,95,English,35,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:24.777000Z,2026-05-15T17:58:26.481000Z,,2026-05-15T17:58:26.902612Z,1082,CDT15VVH,1357,English,46,Male,Black,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:55.194000Z,2026-05-15T18:10:12.930000Z,,2026-05-15T18:10:13.488119Z,1758,CDT15VVH,2815,"English, Vietnamese",27,Female,Asian,United States,United States,United States,Vietnamese,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:45:56.225000Z,2026-05-15T18:40:08.542000Z,,2026-05-15T18:40:08.962638Z,3253,CDT15VVH,81,English,41,Female,Black,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:23.660000Z,2026-05-15T18:12:55.110000Z,,2026-05-15T18:12:55.561240Z,1952,CDT15VVH,9087,"English, Spanish",33,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:32.779000Z,2026-05-15T18:18:27.155000Z,,2026-05-15T18:18:27.559311Z,2275,CDT15VVH,434,English,43,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:38.095000Z,2026-05-15T18:05:26.063000Z,,2026-05-15T18:05:26.528013Z,1488,CDT15VVH,937,"Spanish, English",23,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:32.945000Z,2026-05-15T18:12:11.044000Z,,2026-05-15T18:12:11.469268Z,1899,CDT15VVH,7091,English,56,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:33.623000Z,2026-05-15T18:01:52.546000Z,,2026-05-15T18:01:53.210289Z,1279,CDT15VVH,10556,English,46,Female,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:39.292000Z,2026-05-15T17:57:14.408000Z,,2026-05-15T17:57:14.835028Z,996,CDT15VVH,654,"English, Swahili",27,DATA_EXPIRED,Black,Kenya,United States,United States,English,Yes,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:36.171000Z,2026-05-15T18:25:29.534000Z,,2026-05-15T22:57:24.354366Z,2694,CDT15VVH,9964,English,73,Male,White,United States,United States,Italy,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:32.123000Z,2026-05-15T18:08:36.151000Z,,2026-05-15T18:08:36.593767Z,1685,CDT15VVH,5494,English,64,Female,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:50.522000Z,2026-05-15T18:11:27.668000Z,,2026-05-15T18:11:28.098221Z,1838,CDT15VVH,151,English,35,Female,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,mixed
